feature_id,parent_feature_id,dimension_id,phase_id,scope,name,description,detailed_description,dev_prompt
OPS_02,,DIM_OPS,PH_4_OPS,GLOBAL,iCal Sync,Redundant Calendar Sync Engine,"Basic calendar sync to prevent double bookings.","1. Pedagogical Objective: Trust is built on reliability. Teaches foundations of distribution. 2. Behavior Matrix: TIER_0 (Beginner): 1-way export. TIER_1 (Bronze): 2-way sync (1-hour refresh). TIER_2 (Silver): High-Frequency Sync (15m) and conflict resolution UI. TIER_3 (Gold): Near-real-time Sync (5m) with automated collision-detection and Push alerts. 3. User Journey & UI: Input: iCal URLs. Logic: Chronological merge. Output: Unified calendar. Coach: API vs iCal tip. 4. Business Logic: RG-01: Sync failure alert. RG-02: TIER_3 for high frequency.","Functional Specification: Calendar sync service. TIER_1: Cron job every 60 minutes to pull and push .ics files. TIER_2: Implement a 'Collision UI'—if an iCal import overlaps with an existing booking, highlight the conflict in red and prompt the user for a manual override. TIER_3: Optimize the sync frequency to 5 minutes. Implement 'Intelligent Polling'—if a 'Booking Request' email is detected in the connected inbox (optional), trigger an immediate out-of-band sync for that property to block dates before the iCal refresh."
OPS_03,,DIM_OPS,PH_4_OPS,GLOBAL,Channel Manager,API-Direct Distribution Engine,"Centralized hub for property distribution.","1. Pedagogical Objective: Scale through automation. Teaches 'Single Source of Truth'. 2. Behavior Matrix: TIER_0 (Beginner): iCal Basic. TIER_1 (Bronze): API Connection for 1 platform. TIER_2 (Silver): API Connection for 3 platforms + Basic content/photo sync. TIER_3 (Gold): Unlimited API Distribution with advanced pricing rules and Instant Sync. 3. User Journey & UI: Input: API Keys. Logic: Direct API push/pull. Output: Sync Status Dashboard. Coach: Why API > iCal. 4. Business Logic: RG-01: TIER_2 for multi-channel. RG-02: 'Global Markup' logic.","Functional Specification: Distribution engine. TIER_1: Implement OAuth flows for a single OTA (e.g., Airbnb). TIER_2: Support up to 3 OTAs and implement 'Price Markups'—the user sets a base price, and the system adds X% for Booking.com and Y% for Vrbo to cover their respective commissions. TIER_3: Enable 'Content Sync'—functionally allow the user to manage photos and descriptions once in the SaaS and push them to all API-connected channels. Implement 'Atomic Updates' to prevent overbooking across 50+ channels."
OPS_03_AIRBNB,OPS_03,DIM_OPS,PH_4_OPS,GLOBAL,Airbnb Connector,Official Airbnb API Agent,"Real-time direct connection with Airbnb.","1. Pedagogical Objective: Channel-specific mastery. Teaches first-response ranking. 2. Behavior Matrix: TIER_1 (Bronze): Availability sync. TIER_2 (Silver): Guest Messaging and automated 'Saved Replies'. TIER_3 (Gold): Full Content Parity and AI-automated review response. 3. User Journey & UI: Input: Airbnb login. Logic: Content mapping. Output: Sync status. Coach: Response time importance. 4. Business Logic: RG-01: 90-day re-auth. RG-02: TIER_2 for messaging.","Functional Specification: Airbnb API integration. TIER_1: Basic availability and price push. TIER_2: Integrate the 'Messaging API'—build a 'Unified Inbox' where the host can reply to Airbnb threads. Implement 'Triggers'—e.g., automatically send the 'Check-in Instructions' message 24h before arrival. TIER_3: Enable 'Full Content Management'—users can edit 'House Rules' and 'Check-out instructions' in the SaaS and sync them to Airbnb. Use an open-source LLM to suggest responses to guest reviews based on the guest's rating."
OPS_03_BOOKING,OPS_03,DIM_OPS,PH_4_OPS,GLOBAL,Booking.com Connector,Booking.com XML Specialist,"Advanced XML connection for professional management.","1. Pedagogical Objective: Professional rigor. Teaches 'Rate Plans' and payment security. 2. Behavior Matrix: TIER_1 (Bronze): Availability sync. TIER_2 (Silver): Management of 'Flexible' vs 'Non-refundable' rates. TIER_3 (Gold): Automated Promotion management and VCC processing. 3. User Journey & UI: Input: Booking ID. Logic: Rate Plan mapping. Output: Policy dashboard. Coach: Non-refundable rates tip. 4. Business Logic: RG-01: TIER_3 for VCC capture.","Functional Specification: Booking.com XML integration. TIER_1: Push availability and base rate. TIER_2: Implement 'Rate Plan Overrides'—allow the user to set a specific price for 'Non-Refundable' bookings that differs from the 'Flexible' rate. TIER_3: Build a 'Promotion Engine'—the user can launch 'Black Friday' or 'Last Minute' deals directly from the SaaS. Implement 'Virtual Credit Card' (VCC) handling—functionally capture the card data and process it through a connected Stripe account automatically on the day the VCC becomes active."
OPS_03_VRBO,OPS_03,DIM_OPS,PH_4_OPS,GLOBAL,Vrbo Connector,Vrbo Multi-Unit Distribution Agent,"Direct connection for family-oriented bookings.","1. Pedagogical Objective: Niche targeting. Teaches content adaptation for families. 2. Behavior Matrix: TIER_1 (Bronze): Basic sync. TIER_2 (Silver): Multi-unit grouping and family-amenity optimization. TIER_3 (Gold): Automated cross-platform content sync and guest vetting logic. 3. User Journey & UI: Input: Vrbo account. Logic: Content optimization. Output: Listing health check. Coach: Kitchen photos tip. 4. Business Logic: RG-01: Age limit sync.","Functional Specification: Vrbo API integration. TIER_1: Push availability. TIER_2: Implement 'Family Filter Optimization'—the system scans the property amenities and automatically highlights 'Crib', 'High Chair', and 'Safety Gates' for the Vrbo listing to improve ranking in family searches. TIER_3: Enable 'Cross-Channel Content Bridge'—if a user updates the 'Property Description' for Airbnb, the system suggests a 'Vrbo-optimized' version that focuses more on family activities and house-safety, ready to be pushed to Vrbo with one click."
OPS_04,,DIM_OPS,PH_4_OPS,LOC_PROPERTY,Police Connection,Automated Law Enforcement Reporter,"Automated reporting of guest IDs (Spain/Italy/Portugal).","1. Pedagogical Objective: Legal peace of mind. Teaches 'Identity Management'. 2. Behavior Matrix: TIER_0 (Beginner): Police portal links. TIER_1 (Bronze): Manual CSV Export. TIER_2 (Silver): Automated 'Due Soon' reminders and in-app ID collection portal. TIER_3 (Gold): Automated API Submission with mobile OCR scanning. 3. User Journey & UI: Input: Guest ID scan. Logic: XML formatting. Output: Submission receipt. Coach: 24-hour rule explanation. 4. Business Logic: RG-01: Non-reporting alert. RG-02: TIER_3 for mobile scan.","Functional Specification: Compliance reporting. TIER_1: Generate a CSV file matching the police portal's 'Bulk Upload' format. TIER_2: Build a 'Guest Pre-check-in' page—a link sent to guests where they upload a photo of their ID. The system validates that all required fields (Name, Passport No, DOB) are present. TIER_3: Implement the 'Police API Bridge'—automatically push the collected guest data to the authorities' API (e.g., SES.HOSPEDERIAS for Spain) exactly at the time of check-in. Store the API 'Success' response as legal proof."
OPS_05,,DIM_OPS,PH_4_OPS,LOC_PROPERTY,90-Day Counter,Smart Regulatory Compliance Cap,"Automated tracking of London's 90-day limit.","1. Pedagogical Objective: Respect local limits. Teaches 'Short vs Mid-term' balance. 2. Behavior Matrix: TIER_0 (Beginner): Manual night counter. TIER_1 (Bronze): Automated counter from connected calendars. TIER_2 (Silver): 'Remaining Capacity' forecasting and 'Switch to 30+' strategy alerts. TIER_3 (Gold): Smart Cap with automated multi-channel calendar blocking. 3. User Journey & UI: Input: Booking data. Logic: Nights calculation. Output: Progress bar. Coach: 30+ day strategy tip. 4. Business Logic: RG-01: London scope only. RG-02: TIER_3 for auto-blocking.","Functional Specification: Night counter logic. TIER_1: Sum all (Checkout - Check-in) for bookings within the current calendar year. TIER_2: Develop a 'Forecasting Tool'—based on the current pace, predict which month the 90-day limit will be hit. If the limit is reached, trigger an alert suggesting the user update their 'Minimum Stay' to 30 nights in MKT settings to bypass the limit. TIER_3: Implement a 'Safety Switch'—the moment the 91st night is booked, the system must push a 'Closed' availability status to all OTA APIs for the rest of the year."
OPS_08,,DIM_OPS,PH_4_OPS,GLOBAL,Task Automation,Event-Driven Operations Engine,"Automation of cleaning and maintenance.","1. Pedagogical Objective: Efficiency through events. Teaches 'Workflow Automation'. 2. Behavior Matrix: TIER_0 (Beginner): Manual tasks. TIER_1 (Bronze): Basic triggers (e.g., 'Clean after Checkout'). TIER_2 (Silver): Complex logic (e.g., 'If guest < 2 nights, skip full laundry') and provider assignment. TIER_3 (Gold): Intelligent Engine with Smart Lock integration and dynamic rescheduling. 3. User Journey & UI: Input: Rules. Logic: If 

$$Event$$

 -> Action. Output: Automation log. Coach: Early Checkout tip. 4. Business Logic: RG-01: Sync with OPS_09. RG-02: TIER_3 for lock events.","Functional Specification: Rules engine. TIER_1: Simple trigger system—Event: 'Booking Created' -> Action: 'Create Cleaning Task' on Checkout Date. TIER_2: Implement 'Conditional Tasks'—e.g., 'If stay > 7 days, create Mid-stay Clean on Day 4'. Assign tasks automatically to specific users based on the property. TIER_3: Integrate with Smart Lock APIs (Nuki, Yale). Functionally, if the guest locks the door from the outside and 'Check-out' is expected today, trigger the 'Clean Now' notification to the provider immediately, regardless of the scheduled checkout time."
OPS_09,OPS_08,DIM_OPS,PH_4_OPS,GLOBAL,Provider App,Field Operations Terminal,"Mobile-optimized interface for field staff.","1. Pedagogical Objective: Remote quality control. Teaches 'Evidence-Based Reporting'. 2. Behavior Matrix: TIER_0 (Beginner): Email notification. TIER_1 (Bronze): WebApp with basic task list. TIER_2 (Silver): Multi-provider access and detailed 'Room-by-Room' checklists. TIER_3 (Gold): Field Terminal with mandatory 'Photo Proof' and instant Inventory alerts. 3. User Journey & UI: Input: Tap to start. Logic: Geofenced check-in. Output: Cleanliness Certificate. Coach: 'After' photos tip. 4. Business Logic: RG-01: Min 3 photos. RG-02: TIER_3 for low-stock button.","Functional Specification: Mobile PWA. TIER_1: Basic view showing Task Name, Address, and a 'Complete' button. TIER_2: Implement 'Step-by-Step Checklists'—the cleaner must check off each sub-task (e.g., 'Empty Trash', 'Fresh Linens') before completing the mission. TIER_3: Build a 'Photo Validation' module—the 'Complete' button is disabled until the cleaner uploads at least one photo per room. Implement a 'Refill Request' button—if the cleaner taps it, it automatically creates a 'Restock' task and adds the items to the shopping list in EXP_01."
OPS_10,OPS_08,DIM_OPS,PH_4_OPS,GLOBAL,Ticketing System,Property Maintenance & Incident Tracker,"Systematic tracking of maintenance issues.","1. Pedagogical Objective: Close the loop on breakage. Teaches 'Asset Maintenance'. 2. Behavior Matrix: TIER_1 (Bronze): Basic incident list. TIER_2 (Silver): Assigned tickets with priority levels and cost tracking. TIER_3 (Gold): Damage-to-Claim bridge and automated security deposit claim generation. 3. User Journey & UI: Input: Report issue. Logic: Priority assignment. Output: Incident history. Coach: Wear and Tear vs Damage. 4. Business Logic: RG-01: Link photos to OPS_09. RG-02: TIER_3 for claim generation.","Functional Specification: Issue tracker. TIER_1: Simple CRUD for maintenance tickets. TIER_2: Implement 'Financial Tracking' per ticket—user inputs 'Cost of Repair' and 'Labor Hours'. This data must flow into FIN_00 as a variable expense. TIER_3: Build a 'Resolution Bridge'—if a cleaner reports damage (OPS_09), the system creates a ticket. Functionally, allow the user to click 'Claim Deposit'—the system generates a PDF containing the 'Before' photo (from EXP_02), the 'Damage' photo, and the 'Replacement Cost' (from EXP_01), ready for platform dispute resolution."
FIN_08,,DIM_FINANCE,PH_4_OPS,GLOBAL,Commission Splitter,Concierge Revenue Distribution Engine,"Automated revenue sharing for property managers.","1. Pedagogical Objective: Financial transparency. Teaches 'Net-to-Owner' clarity. 2. Behavior Matrix: TIER_1 (Bronze): Manual % calculator per booking. TIER_2 (Silver): Automated monthly reconciliation for up to 3 owners. TIER_3 (Gold): Automated Distribution with Stripe Connect payouts and Whitelabel Reports. 3. User Journey & UI: Input: Commission %. Logic: Gross - Fees - Expenses = Net. Output: Statement of Account. Coach: Expense Proofs tip. 4. Business Logic: RG-01: TIER_2 for multi-owner. RG-02: TIER_3 for auto-payouts.","Functional Specification: Reconciliation engine. TIER_1: Simple calculator—User inputs 'Gross Rent', system outputs 'Commission (15%)' and 'Owner Share'. TIER_2: Implement 'Expense Deductions'—allow the host to tag specific maintenance tickets (OPS_10) or cleaning tasks (OPS_08) as 'Owner Charged'. The system subtracts these from the monthly payout. TIER_3: Integrate with Stripe Connect—automatically split the incoming booking payment (if SaaS is the merchant) or trigger an ACH/SEPA payout of the 'Net Share' to the owner's bank account on the 1st of every month."
LEG_07,,DIM_LEGAL,PH_4_OPS,LOC_PROPERTY,Mandate Generator,Legal Property Management Contract Suite,"Generates legally binding management contracts.","1. Pedagogical Objective: Secure delegation. Teaches legal boundaries. 2. Behavior Matrix: TIER_1 (Bronze): Downloadable templates. TIER_2 (Silver): Variable-based generator for custom fee structures. TIER_3 (Gold): Mandate Generator with e-Signature integration and 'Legal Vault' storage. 3. User Journey & UI: Input: Fees + Liability. Logic: Variable text generation. Output: Digital contract. Coach: Liability explanation. 4. Business Logic: RG-01: Termination clause mandatory. RG-02: TIER_3 for e-signature.","Functional Specification: Legal document generator. TIER_1: Provide a library of Word/PDF templates based on the property's country. TIER_2: Implement 'Dynamic Clause Injection'—based on the user's fee setup (FIN_08), the system builds a custom management contract by inserting specific text snippets into the legal template. TIER_3: Integrate an e-signature API (e.g., HelloSign, DocuSign). Functionally, once the contract is generated, the host can send it to the owner for signing. The final signed document is stored with a blockchain-based timestamp (hash) for tamper-proof verification."
EXP_03,,DIM_EXP,PH_4_OPS,GLOBAL,Web Welcome Book,Interactive Guest Experience Portal,"Digital welcome book reducing inquiries.","1. Pedagogical Objective: Automate the obvious. Teaches 'Front-loading' information. 2. Behavior Matrix: TIER_0 (Beginner): Text-only rules. TIER_1 (Bronze): Interactive Guide for 1 property. TIER_2 (Silver): Multi-property guides with shared 'Local Tips' and neighborhood maps. TIER_3 (Gold): Experience Portal with 'Upsell Store' and AI auto-translation. 3. User Journey & UI: Input: WiFi, Rules, Tips. Logic: Status-aware content. Output: PWA / QR Code. Coach: The first 5 mins tip. 4. Business Logic: RG-01: QR Code generation. RG-02: TIER_3 for Stripe upsells.","Functional Specification: Guest-facing PWA. TIER_1: Responsive web page showing text and images for WiFi, Parking, and House Rules. TIER_2: Implement 'Global Content Blocks'—allow the host to create a list of 'Recommended Restaurants' once and assign it to multiple properties in the same city. TIER_3: Build an 'Upsell Checkout'—the host can list 'Extras' (e.g., 'Late Checkout: 20€', 'Welcome Wine: 15€'). Guests can purchase these via Apple/Google Pay. All sales are pushed to the 'Commission Splitter' (FIN_08) as guest-paid extras."
EXP_04,,DIM_EXP,PH_4_OPS,GLOBAL,Guest AI Chatbot,Contextual AI Guest Assistant,"24/7 AI support for guest questions.","1. Pedagogical Objective: 24/7 responsiveness. Teaches 'Knowledge Base' management. 2. Behavior Matrix: TIER_1 (Bronze): Automated SMS triggers. TIER_2 (Silver): Rule-based FAQ triggers and 'Human Handover' UI. TIER_3 (Gold): Contextual AI Assistant using RAG on property-specific PDF manuals and guides. 3. User Journey & UI: Input: Chat. Logic: Search within manuals. Output: Conversational answer. Coach: Speed of Response tip. 4. Business Logic: RG-01: Escalation if confidence < 80%. RG-02: 20+ languages.","Functional Specification: Conversational AI. TIER_1: Simple keyword-based auto-replies (e.g., if message contains 'WiFi', send WiFi code). TIER_2: Implement a 'Host Dashboard' for chat—if the bot can't answer, it pings the host and allows them to take over the conversation seamlessly. TIER_3: Implement 'Retrieval-Augmented Generation' (RAG)—the AI 'reads' the Welcome Book (EXP_03) and the user-uploaded appliance manuals (PDF). If a guest asks 'How do I use the coffee machine?', the AI provides the exact steps from the manual. Use an open-source model (e.g., Mistral-7B) to maintain data privacy."
FIN_05,,DIM_FINANCE,PH_5_ANALYZE,GLOBAL,Occupancy Stats,Market-Relative Performance Dashboard,"Basic occupancy and revenue tracking.","1. Pedagogical Objective: Don't celebrate in a vacuum. Teaches RevPAR. 2. Behavior Matrix: TIER_1 (Bronze): Personal occupancy charts. TIER_2 (Silver): Comparative year-on-year stats and 'Loss of Opportunity' analysis. TIER_3 (Gold): Predictive Benchmarking against local Comp-set open data. 3. User Journey & UI: Input: Booking data. Logic: RevPAR = ADR x Occ%. Output: Market comparison graph. Coach: The RevPAR Myth. 4. Business Logic: RG-01: Confirmed bookings only. RG-02: TIER_3 for comp-set.","Functional Specification: Analytics engine. TIER_1: Simple time-series chart showing 'Occupancy Rate' and 'ADR' over the last 12 months. TIER_2: Implement 'Year-over-Year' (YoY) comparison—show how this month compares to the same month last year. Functionally, calculate 'Unearned Revenue'—how much money was lost due to empty nights that could have been filled at a lower price. TIER_3: Pull public data from Inside Airbnb for the city. Functionally, show the user's RevPAR vs. the average RevPAR for 'Similar Properties' (same bedroom count/city) to provide a true performance index."
FIN_06,,DIM_FINANCE,PH_5_ANALYZE,LOC_PROPERTY,FEC Export,FR Standardized Accounting Exporter,"French 'Fichier des Écritures Comptables' (FEC) generator.","1. Pedagogical Objective: Accounting as a habit. Teaches 'Digital Record Keeping'. 2. Behavior Matrix: TIER_1 (Bronze): Annual CSV export. TIER_2 (Silver): Quarterly shadow ledger and VAT pre-calculation. TIER_3 (Gold): Standardized FEC Exporter with direct accounting software sync. 3. User Journey & UI: Input: Receipts + Income. Logic: Double-entry bridge. Output: .txt FEC file. Coach: Why FEC is mandatory. 4. Business Logic: RG-01: France only. RG-02: Zero balance required.","Functional Specification: Fiscal logging system. TIER_1: Generate a simple flat file with all transactions categorized. TIER_2: Implement a 'Pre-Accounting Ledger'—ensure every transaction has a Debit and Credit entry according to the French Plan Comptable. Functionally, allow the user to 'Tag' receipts from their phone. TIER_3: Build the 'FEC Generator'—ensure the output file exactly matches the 18-field structure required by French law. Implement a 'Digital Link' that push-notifies the host's accountant when the quarterly data is ready for export."
FIN_07,,DIM_FINANCE,PH_5_ANALYZE,LOC_HOST,MTD Export,UK HMRC Compliance Bridge,"UK HMRC 'Making Tax Digital' (MTD) compliant data exporter.","1. Pedagogical Objective: Compliance through digital links. Teaches 'Audit Trail'. 2. Behavior Matrix: TIER_1 (Bronze): Formatted spreadsheet export. TIER_2 (Silver): Quarterly tax liability tracker and 'Digital Link' verification. TIER_3 (Gold): MTD Compliance Bridge with direct submission to HMRC API. 3. User Journey & UI: Input: Ledger data. Logic: Quarterly calculation. Output: HMRC receipt. Coach: Copy-pasting risk tip. 4. Business Logic: RG-01: UK only. RG-02: TIER_3 for API submission.","Functional Specification: HMRC API bridge. TIER_1: Export data in the exact format required for the MTD-compliant Excel templates. TIER_2: Build a 'Tax Liability Forecast'—based on the current quarter's profit, calculate the estimated tax due to HMRC so the user can set aside the cash. TIER_3: Implement the 'MTD Submission' workflow—functionally connect to the HMRC Government Gateway via OAuth and submit the quarterly 'Updates' directly from the SaaS without any manual data entry."
FIN_10,,DIM_FINANCE,PH_5_ANALYZE,LOC_HOST,Double Tax Report,Consolidated Cross-Border Tax Summary,"Report for declaring foreign income avoiding double taxation.","1. Pedagogical Objective: Global profit, home protection. Teaches Double Taxation Treaties. 2. Behavior Matrix: TIER_1 (Bronze): Income summary per country. TIER_2 (Silver): Detailed Foreign Tax Credit (FTC) calculation for the home country return. TIER_3 (Gold): Tax Treaty Advisor with 'Filing Map' using public OECD/Treaty data. 3. User Journey & UI: Input: Residency + Property locations. Logic: Apply OECD rules. Output: Filing Guide. Coach: Treaty explanation. 4. Business Logic: RG-01: Flag if no treaty. RG-02: TIER_2 for FTC calculation.","Functional Specification: Cross-border tax logic. TIER_1: Aggregate total income and local taxes paid in the 'Property Country'. TIER_2: Implement the 'Tax Credit Formula' for the home country (e.g., in France, the 'crédit d'impôt égal à l'impôt français'). Functionally, tell the user exactly what to report on their 'Home' return. TIER_3: Build a 'Filing Guide'—using public OECD data, generate a PDF explaining the specific Treaty Article that applies. Functionally, show screenshots of the host's national tax portal with fléches (arrows) indicating where to copy-paste the SaaS-calculated figures."
PRI_02,,DIM_PRICING,PH_5_ANALYZE,GLOBAL,RevPAR Optimizer,AI-Driven Dynamic Pricing Algorithm,"Automated pricing algorithm maximizing total revenue.","1. Pedagogical Objective: Pricing as a living strategy. Teaches 'Demand Elasticity'. 2. Behavior Matrix: TIER_1 (Bronze): Rule-based pricing (e.g., 'Last minute discount'). TIER_2 (Silver): Event-based pricing (Public holidays/School holidays) and 1x daily sync. TIER_3 (Gold): AI Dynamic Pricing with 20+ public variables (Weather, Events) and 4x daily updates. 3. User Journey & UI: Input: Min/Max Price. Logic: Demand Elasticity Modeling. Output: Price Forecast. Coach: Empty night vs cheap sell. 4. Business Logic: RG-01: Unlimited sync TIER_3. RG-02: Never below 'Min Price'.","Functional Specification: Dynamic pricing engine. TIER_1: Simple 'Rules Engine'—e.g., 'If date < 2 days away, discount 20%'. TIER_2: Implement 'Public Calendar Integration'—automatically increase prices by 30% for all national holidays and local school holiday dates (from public school calendar APIs). TIER_3: Architect an 'Elasticity Model'—fetch public data for local events (concerts, festivals) and weather. Functionally, if a major concert is detected and availability is low in the city, the system must aggressively raise prices on those specific dates across all API channels."
MKT_03,,DIM_MKT,PH_6_SCALE,GLOBAL,Direct Booking Site,Conversion-Optimized Direct Booking Engine,"Commission-free website builder for direct bookings.","1. Pedagogical Objective: Take back control. Teaches 'Direct Traffic' value. 2. Behavior Matrix: TIER_1 (Bronze): Single property landing page with inquiry form. TIER_2 (Silver): Multi-property booking site with real-time calendar and 'Returning Guest' discounts. TIER_3 (Gold): High-Performance Engine with Loyalty module, Referral tracking, and Whitelabel checkout. 3. User Journey & UI: Input: Logo + Domain. Logic: Real-time availability pull. Output: Hosted site. Coach: The Billboard Effect. 4. Business Logic: RG-01: Stripe required. RG-02: Auto SSL.","Functional Specification: Booking SPA (Single Page Application). TIER_1: A static-ish page with a 'Contact Host' button that prefills the booking dates. TIER_2: Implement 'Live Inventory Connection'—guests can select dates and see the final price (including cleaning fees) before clicking 'Request to Book'. Implement a 'Coupon Engine' for the host. TIER_3: Build a 'One-Click Checkout'—guests pay via Stripe directly on the site. Functionally, implement a 'Loyalty Tracker'—if a guest's email matches a previous booking in the system, automatically apply a 'Returning Guest' discount."
OPS_06,,DIM_OPS,PH_6_SCALE,GLOBAL,Team Management,Granular RBAC Operations Portal,"Multi-user access control for delegating operations.","1. Pedagogical Objective: Delegation without risk. Teaches process isolation. 2. Behavior Matrix: TIER_1 (Bronze): 1 Co-host (Full access). TIER_2 (Silver): Preset roles (Cleaner, Accountant, Co-host) with restricted views. TIER_3 (Gold): Granular RBAC Portal with feature-level permissions and Security Audit Logging. 3. User Journey & UI: Input: Team email. Logic: Permission masking. Output: Activity log. Coach: Password sharing warning. 4. Business Logic: RG-01: Owner cannot be deleted. RG-02: TIER_3 for custom roles.","Functional Specification: RBAC (Role-Based Access Control). TIER_1: Allow one additional user with full view access but no 'Settings' access. TIER_2: Implement 'Role Presets'—e.g., the 'Cleaner' role can only see the OPS dimension; the 'Accountant' can only see the FIN dimension and exports. TIER_3: Build a 'Permission Matrix'—the owner can create a custom role 'Weekend Support' and toggle access for every single feature ID (e.g., allow Guest Messaging but block Revenue Stats). Log every 'Write' action with the user ID and timestamp for a 'Security Audit' view."
OPS_07,OPS_06,DIM_OPS,PH_6_SCALE,GLOBAL,Investor Portal,Transparency & ROI Reporting Dashboard,"Read-only portal for property owners.","1. Pedagogical Objective: Professionalism as a service. Teaches transparency. 2. Behavior Matrix: TIER_1 (Bronze): Monthly PDF reports. TIER_2 (Silver): Read-Only dashboard for 1 owner with live revenue stats. TIER_3 (Gold): Whitelabel Investor Portal with custom ROI commentary and portfolio performance narratives. 3. User Journey & UI: Input: Manager commentary. Logic: Operational noise filtering. Output: Investor view. Coach: Context over numbers. 4. Business Logic: RG-01: Read-only enforced. RG-02: Manager review mandatory.","Functional Specification: Shared dashboard. TIER_1: Automate the generation of the monthly FIN_08 report and send it to the owner's email. TIER_2: Provide a 'Login Link' for the owner—functionally, they see a simplified version of FIN_05 and FIN_08, filtered only for their property. TIER_3: Enable 'White-labeling'—the manager can upload their own logo for the investor's view. Functionally, implement a 'Narrative Module'—the manager writes a short 'Monthly Performance Summary' that appears at the top of the owner's dashboard."
LEG_06,,DIM_LEGAL,PH_6_SCALE,LOC_HOST,Company Audit,Structural Wealth Optimization Simulator,"Simulation for transitioning to corporate ownership.","1. Pedagogical Objective: Long-term legacy. Teaches 'Succession' and 'Exit taxes'. 2. Behavior Matrix: TIER_1 (Bronze): Basic IR vs IS calculator. TIER_2 (Silver): Multi-year wealth projection (10 years) including maintenance Capex. TIER_3 (Gold): Structural Wealth Optimization with 20-year exit strategy and Inheritance tax planning. 3. User Journey & UI: Input: Portfolio value. Logic: Wealth Impact simulation. Output: Transition Roadmap. Coach: 'The Trap' warning. 4. Business Logic: RG-01: Country-specific tax rules. RG-02: Legal disclaimer mandatory.","Functional Specification: Wealth simulator. TIER_1: Simple comparison of the tax paid this year if the income was personal vs. corporate. TIER_2: Implement a '10-year Equity Projection'—calculate how much mortgage principal is paid down and how that equity grows under different structures. TIER_3: Build a 'Succession Simulator'—using public national inheritance tax tables, show the delta in tax liability for the host's heirs if the properties are held in a 'Family Holding' vs. personally. Output a 'Structural Roadmap' with a checklist of legal steps to incorporate."